REPORTE DE SEGURIDAD
====================
Artefacto: .
Fecha: 23/03/2026 16:06
====================

| CVE-2023-6378 | ch.qos.logback:logback-classic | HIGH | logback: serialization vulnerability in logback receiver
| GHSA-72hv-8253-57qq | com.fasterxml.jackson.core:jackson-core | HIGH | jackson-core: Number Length Constraint Bypass in Async Parser Leads to Potential DoS Condition
| CVE-2025-55163 | io.netty:netty-codec-http2 | HIGH | netty: netty-codec-http2: Netty MadeYouReset HTTP/2 DDoS Vulnerability
| CVE-2025-24970 | io.netty:netty-handler | HIGH | io.netty:netty-handler: SslHandler doesn't correctly validate packets which can lead to native crash when using native SSLEngine
| CVE-2025-22235 | org.springframework.boot:spring-boot | HIGH | org.springframework.boot/spring-boot: Spring Boot EndpointRequest.to() creates wrong matcher if actuator endpoint is not exposed
| CVE-2025-41249 | org.springframework:spring-core | HIGH | org.springframework/spring-core: Spring Framework Annotaion Detection Vulnerability
| CVE-2024-22243 | org.springframework:spring-web | HIGH | springframework: URL Parsing with Host Validation
| CVE-2024-22259 | org.springframework:spring-web | HIGH | springframework: URL Parsing with Host Validation
| CVE-2024-22262 | org.springframework:spring-web | HIGH | springframework: URL Parsing with Host Validation
| CVE-2024-38816 | org.springframework:spring-webflux | HIGH | spring-webmvc: Path Traversal Vulnerability in Spring Application...
